AAREN	AA R AH N
ANTICHRIST	AE N T IH K R AH S T
ANTICIPATIVE	AE N T IH S AH P AH T IH V
ANTICKED	AE N T IH K T
ANTICKING	AE N T IH K IH NG
ANTICLERICAL	AE N T AY K L EH R IH K AH L
ANTICLIMAX	AE N T AY K L AY M AE K S
ANTICYCLONIC	AE N T IH K IY K L AA N IH K
ANTIFASCIST	AE N T AY F AE SH AH S T
ANTIFORMANT	AE N T AY F AO R M AH N T
ANTIGENIC	AE N T IH JH AH N IH K
ANTIGENICITY	AE N T IH JH AH N IH K S M AH T IY
ANTIHERO	AE N T AY HH IY R OW
ANTIHEROES	AE N T AY HH IY R OW Z
ANTILABOR	AE N T AY L EY B ER
ANTILLEAN	AE N T IH L IY N
ANTILOGS	AE N T AY L AA G Z
ANTIMACASSAR	AE N T AH M AE K AH S AH R
ANTIMALARIAL	AE N T AY M EY L EH R IY AH L
ANTIMONY	AE N T IH M AO N IY
ANTIN	AE N T IH N
ANTING	AE N T IH NG
ANTINOMIAN	AE N T IH N OW M IY AH N
ANTINOMY	AE N T AH N OW M IY
ANTINUCLEAR	AE N T AY N UW K L IY ER
ANTIPARTICLE	AE N T AY P AA R T IH K AH L
ANTIPAS	AE N T AH P AE Z
ANTIPASTI	AE N T AH P AE S T IY
ANTIPASTO	AE N T AH P AE S T OW
ANTIPATHETIC	AE N T AY P AH TH EH T IH K
ANTIPHONAL	AE N T IH F AH N AH L
ANTIPODE	AE N T AH P OW D
ANTIPODEAN	AE N T AH P OW D IY AH N
ANTIPODES	AE N T IH P AH D IY Z
ANTIQUARIAN	AE N T AH K W EH R IY AH N
ANTIQUARY	AE N T IY K EH R IY
ANTIQUATION	AE N T IY K EY SH AH N
ANTISEMITIC	AE N T IY Z IY M IH T IH K
ANTISEMITISM	AE N T IY Z IY M IH T IH Z AH M
ANTISEPSES	AE N T AH S EH P S AH Z
ANTISEPSIS	AE N T AH S EH P S AH S
ANTISERUM	AE N T IH S IH R AH M
ANTISLAVERY	AE N T AY S L EY V AH R IY
ANTISYMMETRY	AE N T AY S IH M AH T R IY
ANTITHESES	AE N T AY TH IY S IY Z
ANTITHETIC	AE N T AH TH EH T IH K
ANTITHYROID	AE N T AY TH AY R OY D
ANTIVENIN	AE N T IH V AH N IH N
ANTOFAGASTA	AE N T AH F AH G AE S T AH
ANTONELLA	AE N T AH N EH L AH
ANTONETTA	AE N T AH N EH T AH
ANTONIE	AE N T AO N IY
ANTONIETTA	AE N T AH N IY T AH
ANTONINA	AE N T AA N AH N AH
ANTONINO	AE N T AA N AH N OW
ANTONINUS	AE N T AA N AH N AH S
ANTONOVICS	AE N T AA N AH V AH S Z
ANTONYM	AE N T AH N AH M
ANTONYMOUS	AE N T AA N AH M AH S
ANTRAL	AE N T R AH L
ANTWAN	AE N T W AA N
ANXIOUSNESS	AE NG K SH AH S N AH S
ANYWISE	AE N AH W AY Z
APARTNESS	AH P AA R T N AH S
APENNINES	AH P EH N AY N Z
APER	EY P ER
APERIODIC	AH P IH R IY AA D IH K
APERIODICITY	AH P IH R IY AH D IH S AH T IY
APHASIC	AH F EY Z IH K
APHELIA	AH F IY L Y AH
APHELION	AH F IY L IY AH N
APHONIC	AH F AA N IH K
APHORISTIC	AE F AH R AH S T AH K
APIARIST	AH P AY ER IH S T
APIARY	AH P AY EH R IY
APICAL	EY P IH K AH L
APISH	EY P IH SH
APISHNESS	EY P IH SH N AH S
APOCRYPHA	AH P AA K R AH F AH
APOLAR	AH P OW L ER
APOLLINAIRE	AH P OW L IH N AH AY ER
APOLOGETICS	AH P AA L AH JH EH T IH K S
APOLOGIA	AE P AH L OW JH IY AH
APOLOGIZER	AH P AA L AH JH AY Z AH R
APOSTASY	AH P AA S T AH Z IY
APOSTATIZE	AH P AA S T EY T AY Z
APOSTLESHIP	AH P AA S AH L SH IH P
APOTHEGM	AE P AH TH AH M
APOTHEOSES	AH P AA TH IY OW Z AH Z
APOTHEOSIZED	AH P AA TH IY AH Z AY Z D
APOTHEOSIZES	AH P AA TH IY AH Z AY Z AH Z
APPALOOSA	AE P AH L UW S AH
APPANAGE	AE P AH N IH JH
APPARENCY	AE P AH R EH N S IY
APPARENTNESS	AH P AE R AH N T N AH S
APPEALER	AH P IY L ER
APPEARER	AH P IH ER ER
APPEASER	AH P IY Z ER
APPELLANT	AH P EH L AH N T
APPELLATIVE	AH P EH L AH T IH V
APPENDICES	AH P EH N D IH K S IH Z
APPERTAIN	AE P AH R T EY N
APPLAUDER	AH P L AO D ER
APPLECART	AE P AH L K AA R T
APPLEJACK	AE P AH L JH AE K
APPLICABLY	AE P L IH K AH B L IY
APPLICATE	AE P L IH K AH T
APPLICATIVE	AE P L IH K AH T IH V
APPLIER	AH P L AY ER
APPLIQUÃ‰	AE P L AH K W
APPLIQUÃ‰D	AE P L AH K W D
APPOINTER	AH P OY N T ER
APPOLONIA	AE P AH L OW N Y AH
APPOMATTOX	AE P AH M AE T AH K S
APPOSE	AE P OW Z
APPOSITE	AE P AH S AY T
APPOSITENESS	AE P AH S AY T N AH S
APPOSITION	AE P AH Z IH SH AH N
APPOSITIVE	AE P AA S AH T AH V
APPRAISEES	AH P R EY Z IY Z
APPRECIATOR	AH P R IY SH IY EY T ER
APPRECIATORY	AH P R IY SH IY EY T ER IY
APPREHENDER	AE P R IH HH EH N D ER
APPRIZER	AE P R AY Z AH R
APPRIZINGLY	AE P R AH Z IH NG L IY
APPRIZINGS	AE P R AH Z AH NG Z
APPROACHER	AH P R OW CH ER
APPROBATE	AE P R AH B EY T
APPROPRIABLE	AH P R OW P R IY AH B AH L
APPROVER	AH P R UW V ER
APPROX	AE P R AH K S
APPURTENANCE	AE P AH R T AH N AH N S
APPURTENANT	AE P AH R T AH N AH N T
APRILETTE	AE P R AH L EH T
APSE	AE P S
APSIS	AE P S IY Z
APTEST	AE P T AH S T
APTNESS	AE P T N AH S
APULEIUS	AE P Y UW L EY AH S
AQUAPLANE	AE K W AH P L EY N
AQUATICALLY	AE K W AA T AH K AE L IY
AQUAVIT	AE K W AH V AH T
AQUILINE	AE K W AH L AY N
ARABEL	AE R AH B AH L
ARABELA	AH R AE B AH L AH
ARABELE	AE R AH B IY L
ARABELLE	AE R AH B AH L
ARABESQUE	AE R AH B EH S K
ARABILITY	AE R AH B IH L AH T IY
ARABIST	AE R AH B AH S T
ARABY	AE R AH B IY
ARACELI	AH R AE S AH L IY
ARACHNOID	AE R AH K N OY D
ARAGUAYA	AH R AE G W EY AH
ARALDO	AH R AE L D OW
ARAMAIC	AE R AH M EY AH K
ARAPAHOES	AH R AE P AH HH OW Z
ARAUCANIAN	AE R AH K EY N IY AH N
ARAWAKAN	AH R AO AH K AH N
ARBITRAMENT	AA R B IH T R AH M AH N T
ARBORES	AA R B AH R Z
ARBORVITAE	AA R B AO R V AH T IY
ARBUTUS	AA R B Y UW T AH S
ARCHAICALLY	AA R K EY IH K AH L IY
ARCHAIMBAUD	AA R K EY M B AH D
ARCHAISM	AA R K EY IH Z AH M
ARCHAIST	AA R K EY AH S T
ARCHAIZE	AA R K EY AY Z
ARCHAIZER	AA R K EY AY Z ER
ARCHDEACON	AA R CH D IY K AH N
ARCHDIOCESAN	AA R CH D AY AE S AH S AH N
ARCHDUCHESS	AA R CH D AH CH AH S
ARCHEAN	AA R K AH N
ARCHFIEND	AA R CH F IY N D
ARCHFOOL	AA R CH F UW L
ARCHIBALDO	AA R K AH B AE L D OW
ARCHIBOLD	AA R K AH B OW L D
ARCHIVED	AA R K AY V D
ARCHNESS	AA R CH N AH S
ARCHY	AA R CH IY
ARCLIKE	AA R K L AY K
ARCSINE	AA R K S AY N
ARCTANGENT	AA R K T AE N JH AH N T
ARDABIL	AA R D AH B AH L
ARDELIS	AA R D AH L AH S
ARDENCY	AA R D AH N S IY
ARDENIA	AA R D IY N Y AH
ARDISJ	AA R D AH Z
ARDUOUSNESS	AA R JH AH W AH S N AH S
ARDYCE	AA R D AY S
ARDYS	AA R D IY Z
ARDYTH	AA R D IY TH
AREAL	AH R IY L
AREAWIDE	AH R IY AH W AY D
ARENACEOUS	AE R AH N AH S IY AH S
ARGENTINEAN	AA R JH AH N T AY N IY AH N
ARGININE	AA R JH AH N AY N
ARGUER	AA R G Y UW ER
ARIANIST	AH R IY AH N AH S T
ARIDATHA	AH R IH D AH TH AH
ARIDITY	AH R IH D AH T IY
ARIDNESS	AE R AH D N AH S
ARIELA	AH R IY L AH
ARIELLE	AH R IY L
ARIGHT	AH R AY T
ARIOSTO	AE R IY AA S T OW
ARISTARCHUS	AH R IH S T AA R K AH S
ARISTIDES	AE R AH S T AY D Z
ARISTOTELEAN	AH R IH S T AH T IY L IY AH N
ARITHMETICAL	AE R IH TH M EH T IH K AH L
ARITHMETIZE	AH R IH TH M AH T AY Z
ARIUS	AE R AY AH S
ARIZONIAN	AE R AH Z OW N IY AH N
ARJUNA	AA R JH UW N AH
ARKHANGELSK	AA R K AE N JH AH L S
ARLAN	AA R L AH N
ARLEE	AA R L IY IY
ARLEYNE	AA R L EY N
ARLIENE	AA R L IY N
ARLINA	AA R L AH N AH
ARLUENE	AA R L UW AH N
ARLYN	AA R L AH N
ARMAGNAC	AA R M AE G N AH K
ARMATA	AA R M AH T AH
ARMATURE	AA R M AH CH ER
ARMFUL	AA R M F UH L
ARMHOLE	AA R M HH OW L
ARMINIUS	AA R M IH N AY AH S
ARMLESS	AA R M L AH S
ARMLET	AA R M L AH T
ARMLOAD	AA R M L OW D
ARMORER	AA R M ER ER
ARMORIAL	AA R M AH R IY AH L
ARNEB	AA R N AH B
ARNHEM	AA R N HH AH M
ARNOLDO	AA R N OW L D OW
ARNUAD	AA R N Y UW AH D
AROMATICALLY	AE R AH M AE T IH K AH L IY
AROMATICITY	AE R AH M AE T IH K AH T IY
AROMATICNESS	AE R AH M AE T IH K N AH S
ARPEGGIO	AA R P EH JH IY OW
ARRACK	AH R AE K
ARRAGON	AE R AH G AH N
ARRANGEABLE	AH R EY N JH AH B AH L
ARRAS	AE R AH Z
ARRAYER	AH R EY ER
ARREAR	AH R IH ER
ARRESTEE	AH R EH S T IY
ARRESTER	AH R EH S T ER
ARRESTOR	AH R EH S T ER
ARRHENIUS	AE R EH N AY AH S
ARRHYTHMIC	AE R AH TH M AH K
ARRHYTHMICAL	AE R IH TH M IH S AH L
ARRIVER	AH R AY V ER
ARROGATION	AE R AH G EY SH AH N
ARRON	AE R AH N
ARSENATE	AA R S AH N EY T
ARSINE	AA R S IY N
ARTAIR	AA R T EH R
ARTAXERXES	AA R T AE K S AH R K S
ARTEMIS	AA R T AH M AH S
ARTERIOLAR	AA R T IH R IY OW L ER
ARTERIOLE	AA R T IH R IY OW L
ARTFULNESS	AA R T F AH L N AH S
ARTHER	AA R DH AH R
ARTHRITIDES	AA R TH R AH T AY D Z
ARTHROGRAM	AA R TH R AA G R AH M
ARTHROSCOPE	AA R TH R AH S OW P
ARTHROSCOPIC	AA R TH R AA S AH P AH K
ARTICULABLE	AA R T IH K Y AH L AH B AH L
ARTICULAR	AA R T IH K Y AH L ER
ARTICULATELY	AA R T IH K Y AH L AH T L IY
ARTICULATOR	AA R T IH K Y AH L AH T ER
ARTIFICER	AA R T AH F AH S ER
ARTILLERIST	AA R T IH L ER IH S T
ARTILLERYMAN	AA R T IH L AH R IY M AE N
ARTILLERYMEN	AA R T IH L AH R IY M EH N
ARTINESS	AA R T IY N AH S
ARTISTE	AA R T AY S T
ARTLESS	AA R T L AH S
ARTLESSNESS	AA R T L AH S N AH S
ARVIE	AA R V AY
ARVY	AA R V IY
ARYN	AE R AH N
ASAMA	AE S AH M AH
ASCELLA	AE S EH L AH
ASCENDER	AH S EH N D ER
ASCETICALLY	AH S EH T IH K AH L IY
ASCETICISM	AH S EH T AH S IH Z AH M
ASCRIPTION	AH S K R IH P SH AH N
ASCRIPTIVE	AH S K R IH P T IH V
ASE	EY Z
ASEPTIC	EY S EH P T IH K
ASEPTICALLY	EY S EH P T IH K AH L IY
ASHANTI	AH SH AE N T IY
ASHBEY	AE SH B IY IY
ASHCAN	AE SH K AE N
ASHELY	AE SH L IY
ASHIA	AE SH IY AH
ASHIEN	AH SH AY AH N
ASHIL	AE SH AH L
ASHKENAZIM	AE SH EH N AH Z AH M
ASHKHABAD	AE SH AH B AH D
ASHLA	AE SH L AH
ASHLAN	AE SH L AH N
ASHLAR	AE SH L AH R
ASHLEE	AE SH L IY
ASHLEIGH	AE SH L EY
ASHLEN	AE SH L AH N
ASHLI	AE SH L IY
ASHLIE	AE SH L AY
ASHLY	AE SH L IY
ASHMOLEAN	AE SH M OW L IY AH N
ASHRAM	AE SH R AE M
ASHURBANIPAL	AH SH AH R B AE N AH P AH L
ASILOMAR	AH S AY L OW M AA R
ASININITY	AE S AH N AY N AH T IY
ASLANT	AH S L AE N T
ASOCIAL	EY S OW SH AH L
ASOKA	AE S AH K AH
ASPCA	AE S AH
ASPELL	AH S P EH L
ASPHODEL	AE S AH D AH L
ASPHYXIA	AE S IH K S IY AH
ASPHYXIATION	AE S IH K S AY EY SH AH N
ASPIC	AE S AH K
ASPIDISKE	AE S AH D AH S
ASPIDISTRA	AE S AH D IH S T R AH
ASPIRATIONAL	AE S P AH R EY SH AH N AH L
ASPIRATOR	AH S P AY ER AH T ER
ASPIRER	AH S P AY ER ER
ASPLENIUM	AE S L IY N IY AH M
ASSAILABLE	AH S EY L AH B AH L
ASSAMESE	AE S AH M IY Z
ASSERTER	AH S ER T ER
ASSERTIONAL	AH S ER SH AH N AH L
ASSEVERATE	AE S EH V ER AH T
ASSEVERATION	AE S EH V ER EY SH AH N
ASSIDUITY	AE S AH D Y UW AH T IY
ASSIGNATION	AH S AY N EY SH AH N
ASSIGNEE	AH S AY N IY
ASSIGNER	AH S AY N ER
ASSIGNOR	AH S AY N ER
ASSISTER	AH S IH S T ER
ASSIZE	AE S AY Z
ASSOCIABLE	AH S OW S IY AH B AH L
ASSOCIATIVE	AH S OW S IY AH T IH V
ASSOCIATOR	AH S OW S IY AH T ER
ASSONANCE	AE S AH N AH N S
ASSONANT	AE S AH N AH N T
ASSORTER	AH S AO R T ER
ASSUMABILITY	AH S UW M AH B IH L AH T EH
ASSUMER	AH S UW M ER
ASSUMPTIVE	AH S AH M P T IH V
ASSUREDNESS	AH SH UW R AH D N AH S
ASSURER	AH SH UW R ER
ASSYRIOLOGY	AE S IY R IY AA L AH JH IY
ASTARTE	AE S T AH R T
ASTATINE	AE S T AH T AY N
ASTERIA	AE S T IH R IY AH
ASTERISKED	AE S T AH R IH S K T
ASTERN	AH S T ER N
ASTEROIDAL	AE S T AH R OY D AH L
ASTIGMATIC	AE S T AH M AH T AH K
ASTIR	AH S T ER
ASTRINGENCY	AH S T R IH N JH AH N S IY
ASTRIX	AE S T R AH K S
ASTROLABE	AE S T R AH L EY B
ASTROLOGIST	AE S T R AA L AH JH AH S T
ASTRONOMIC	AE S T R AH N AA M IH K
ASTURIAS	AE S T Y UH R IY AH Z
ASUNCIÃ“N	AH S AH N S AH N
ASWAN	AH S W AA N
ASYMMETRIC	EY S AH M EH T R IH K
ASYNCHRONISM	EY S IH NG K R AH N IH Z AH M
ASYNCHRONY	EY S IH NG K R AH N IY
ATAHUALPA	AH T AE HH Y UW AE L P AH
ATATÃœRK	AE T AH T R K
ATAVIST	AE T AH V AH S T
ATAXIC	AH T AE K S IH K
ATELIER	EY T L IY ER
ATEMPORAL	AH T EH M P AH R AH L
ATHABASCA	AE TH AH B AE S AH
ATHABASKAN	AE TH AH B AE S AH N
ATHIRST	AH TH ER S T
ATILT	AH T IH L T
ATLANTE	AE T L AH N T
ATLANTES	AE T L AH N T S
ATMAN	AE T M AH N
ATOMICALLY	AH T AA M IH K AH L IY
ATOMICITY	AH T AA M IH K AH T IY
ATOMICS	AH T AA M IH K S
ATOMISTIC	AE T AH M IH S T IH K
ATOMIZATION	AE T AH M AH Z EY SH AH N
ATOMIZE	AE T AH M AY Z
ATONALITY	AH T OW N AE L AH T IY
ATREUS	AE T R IY AH S
ATRIAL	AH T R AY AH L
ATROPHIC	AH T R AA F IH K
ATROPINE	AE T R AH P AY N
ATROPOS	AE T R AH P AH Z
ATTACHER	AH T AE CH ER
ATTACHÃ‰	AH T AE CH
ATTAINABLY	AH T EY N AH B L IY
ATTAINER	AH T EY N ER
ATTEMPTER	AH T EH M P T ER
ATTENDER	AH T EH N D ER
ATTENTIONAL	AH T EH N CH AH N AH L
ATTENUATION	AE T EH N Y UW EY SH AH N
ATTENUATOR	AE T EH N Y UW EY T AH R
ATTESTATION	AH T EH S T EY SH AH N
ATTESTER	AH T EH S T ER
ATTITUDINIZE	AE T AH T Y UW D AH N AY Z
ATTRACTANT	AH T R AE K T AH N T
ATTRACTOR	AH T R AE K T ER
ATTRIBUTER	AE T R AH B Y UW T ER
ATTRIBUTIVE	AE T R AH B Y UW T IH V
ATTUCKS	AE T AH K S
ATWITTER	AH T W IH T ER
AUBERGE	AO B AH R JH
AUBERGINE	AO B AH R JH AY N
AUBERON	AO B AH R AH N
AUBERTA	AH B AH R T AH
AUBINE	AH B AY N
AUBREE	AO B R IY IY
AUBRETTE	AO B R EH T
AUBRIE	AO B R AY
AUDIBILITY	AO D AH B IH L AH T IY
AUDIE	AO D IY
AUDIOGRAM	AO D IY OW G R AE M
AUDIOLOGICAL	AO D IY OW L AA JH IH K AH L
AUDIOLOGIST	AO D IY AA L AH JH AH S T
AUDIOLOGY	AO D IY AA L AH JH IY
AUDIOMETER	AO D IY OW M IY T ER
AUDIOMETRIC	AO D IY OW M EH T R IH K
AUDIOMETRY	AO D IY OW M IY T ER IY
AUDRA	AO D R AH
AUDRE	AO D AH R
AUDRYE	AO D R AY
AUGEAN	AO JH IY AH N
AUGIE	AO JH AY
AUGMENTATIVE	AO G M EH N T AH T IH V
AUGMENTER	AO G M EH N T ER
AUGURY	AO G ER IY
AUGUSTAN	AH G AH S T AH N
AUGUSTINA	AH G AH S T AH N AH
AUGUSTNESS	AO G AH S T N AH S
AUNDREA	AO N D R IY AH
AUREL	AO R AH L
AURELEA	AH R IY L IY AH
AURELIA	AH R IY L Y AH
AURELIE	AH R IY L AY
AURELIUS	AH R EH L AY AH S
AUREOMYCIN	AO R IY AA M AH S AH N
AURIC	EY Y AH R AH K
AURICLE	AO R AH K AH L
AURICULAR	EY Y AH R IH S Y AH L AH R
AURIE	AO R AY
AURIGA	AO R AH G AH
AURILIA	AH R IH L Y AH
AURLIE	AO R L AY
AUROORA	AO R AH R AH
AURORE	AO R AH R
AURTHUR	AO R TH AH R
AUSCULTATE	AO S AH L T EY T
AUSCULTATION	AO S AH L T EY SH AH N
AUSTERENESS	AO S T IH ER N AH S
AUSTINA	AO S T AH N AH
AUSTRALASIAN	AO S T R AH L EY Z IY AH N
AUSTRALES	AO S T R EY L Z
AUSTRALIS	AO S T R AH L AH S
AUSTRALITES	AO S T R AH L AY T S
AUSTRALOID	AO S T R AH L OY D
AUSTRONESIAN	AO S T R OW N Z IY AH N
AUTHORESS	AO TH ER AH S
AUTHORIAL	AO TH ER IY AH L
AUTHORIZER	AO TH ER AY Z ER
AUTODIAL	AO T OW D AY AH L
AUTODIDACT	AO T OW D IH D AE K T
AUTOIGNITION	AO T OW IH G N IH SH AH N
AUTOIMMUNITY	AO T OW IH M Y UW N AH T IY
AUTOLOADER	AO T OW L OW D ER
AUTOMATISM	AO T AH M EY T IH Z AH M
AUTOMATIZE	AO T AH M EY T AY Z
AUTOMORPHISM	AO T OW M AO R F IH Z AH M
AUTOREPEAT	AO T OW R IH P IY T
AUTOSTART	AO T OW S T AA R T
AUXIN	AO K S AH N
AVAILABLY	AH V EY L AH B L IY
AVAILING	AH V EY L IH NG
AVARICIOUS	AE V AH R IH SH AH S
AVAST	AH V AE S T
AVAUNT	AE V AH N T
AVENTINE	AE V AH N T AY N
AVENTINO	AH V EH N T AH N OW
AVERNUS	AH V AH R N AH S
AVERRED	AE V AH R D
AVERRER	AH V EH R ER
AVERRING	AH V EH R AH NG
AVERROES	AH V EH R OW Z
AVERSENESS	AH V ER S N AH S
AVES	AA V EY Z
AVESTA	AH V EH S T AH
AVIATE	EY V IY AH T
AVIATRICES	EY V IY AE T R AH S
AVIATRIX	EY V IY AE T R AH K S
AVICENNA	AE V AH S EH N AH
AVICTOR	AH V IH K T ER
AVIDITY	AH V IH D AH T IY
AVIGDOR	AH V IH G D AH R
AVIOR	EY V IY ER
AVITAMINOSES	AH V AY T AH M AH N AA S IH Z
AVITAMINOSIS	AH V AY T AH M AH N AA S IY Z
AVIVA	AH V IY V AH
AVIVAH	AE V AH V AH
AVOCATIONAL	AE V AH K EY SH AH N AH L
AVOGADRO	AE V AH G AE D R OW
AVOIDABLY	AH V OY D AH B L IY
AVOIDER	AH V OY D ER
AVOIRDUPOIS	AE V OY R D Y UW P OW AH S
AVOUCH	AH V AW CH
AVOWAL	AH V AW AH L
AVOWER	AH V AW ER
AVRIT	AE V R AH T
AVROM	AE V R AH M
AWAKENER	AH W EY K AH N ER
AWARDER	AH W AO R D ER
AWEIGH	AH W EY
AWESOMENESS	AO S AH M N AH S
AWFULLER	AO F AH L ER
AWFULLEST	AO F AH L AH S T
AWOKEN	AH W OW K AH N
AXEHEAD	AE K S HH EH D
AXEMAN	AE K S M AE N
AXILLARY	AE K S IH L EH R IY
AXIOLOGICAL	AE K S IY AH L AA JH IH K AH L
AXIOLOGY	AE K S IY AA L AH JH IY
AXIOMATIZE	AE K S IY AH M AH T AY Z
AXION	AE K S IY AH N
AXLETREE	AE K S AH L T R IY
AXOLOTL	AE K S AH L AH T L
AYAH	EY AH
AYAHS	EY AH Z
AYLMAR	EY L M AH R
AYMARA	EY M AH R AH
AYMER	EY M AH R
AZANIA	AH Z EY N Y AH
AZAZEL	AE Z AH Z AH L
AZIMUTH	AE Z AH M AH TH
AZIMUTHAL	AH Z IH M AH TH AH L
AZIMUTHS	AE Z AH M AH TH S
AZOV	AE Z AH V
AZTECAN	AE Z T AH K AH N
BAAL	B EY AH L
BABARA	B AE B AH R AH
BABBETTE	B AE B EH T
BABBIE	B AE B AY
BABYLONIA	B AE B AH L OW N Y AH
BACCHIC	B AE K AH K
BACHELORHOOD	B AE CH L ER HH UH D
BACILLARY	B AE S AH L EH R IY
BACILLI	B AH S IH L IY
BACKARROW	B AE K AE R OW
BACKBENCH	B AE K B EH N CH
BACKBENCHER	B AE K B EH N CH ER
BACKBIT	B AE K B IH T
BACKBITER	B AE K B AY T ER
BACKBITTEN	B AE K B IH T AH N
BACKCHAINING	B AE K CH EY N IH NG
BACKCLOTH	B AE K L AO TH
BACKDROPPED	B AE K D R AA P T
BACKDROPPING	B AE K D R AA P IH NG
BACKFILL	B AE K F IH L
BACKHANDER	B AE K HH AE N D ER
BACKLOGGING	B AE K L AA G IH NG
BACKORDER	B AE K AO R D ER
BACKPLANE	B AE K P L EY N
BACKPLATE	B AE K P L EY T
BACKSCATTER	B AE K S K AE T ER
BACKSLAPPER	B AE K S L AE P ER
BACKSLID	B AE K S L IH D
BACKSLIDER	B AE K S L AY D ER
BACKSPACE	B AE K S P EY S
BACKSTABBER	B AE K S T AE B ER
BACKSTABBING	B AE K S T AE B IH NG
BACKSTAIR	B AE K S T EH R
BACKSTOPPED	B AE K S T AA P T
BACKSTOPPING	B AE K S T AA P IH NG
BACKSTREET	B AE K S T R IY T
BACKSTRETCH	B AE K S T R EH CH
BACKTALK	B AE K T AO K
BACKWOOD	B AE K W UH D
BACKWOODSMEN	B AE K W UH D Z M EH N
BACONER	B EY K AH N ER
BACTERICIDAL	B AE K T AH R IH S AH D AH L
BACTERICIDE	B AE K T EH R AH S AY D
BACTRIA	B AE K T R IY AH
BADDER	B AE D ER
BADDEST	B AE D AH S T
BADDIE	B AE D IY
BADINAGE	B AE D AH N AA ZH
BADMEN	B AE D M EH N
BADMOUTH	B AE D M AW TH
BADMOUTHS	B AE D M AW TH S
BAFFIN	B AE F AH N
BAFFLEMENT	B AE F AH L M AH N T
BAFFLER	B AE F AH L ER
BAGATELLE	B AE G AH T EH L
BAGGAGEMAN	B AE G EY JH M AE N
BAGGAGEMEN	B AE G EY JH M EH N
BAGGER	B AE G ER
BAGGILY	B AE G IY L IY
BAGRODIA	B AE G R OW D IY AH
BAGUIO	B AE G W IY OW
BAHAMANIAN	B AE HH AH M EY N IY AH N
BAIKAL	B EY K AH L
BAILSMAN	B EY L Z M AE N
BAILSMEN	B EY L Z M EH N
BAIRN	B AE AH R N
BAITER	B EY T ER
BAKEHOUSE	B EY K HH AW S
BAKELITE	B AE K AH L AY T
BAKESHOP	B EY K SH AA P
BAKLAVA	B AE K L AH V AH
BAKSHEESH	B AE K IY SH
BAKUNIN	B AE K Y UW N AH N
BALALAIKA	B AE L AH L EY K AH
BALANCEDNESS	B AE L AH N S AH D N AH S
BALDFACED	B AO L D F EY S T
BALDUIN	B AE L D UW N
BALDY	B AO L D IY
BALEARIC	B EY L ER IH K
BALEFULLER	B EY L F AH L ER
BALEFULLEST	B EY L F AH L AH S T
BALEFULNESS	B EY L F AH L N AH S
BALKER	B AO K ER
BALKHASH	B AO K HH AE SH
BALKINESS	B AO K IY N AH S
BALLADEER	B AE L AH D IH R
BALLADRY	B AE L AH D R IY
BALLETIC	B AE L EY IH K
BALLFIELDS	B AO L F IY L D Z
BALLOTER	B AE L AH T ER
BALMINESS	B AA M IY N AH S
BALSAMIC	B AO L S AH M IH K
BALUCHISTAN	B AE L AH CH IH S T AH N
BALUSTER	B AH L AH S T AH R
BALUSTRADE	B AE L AH S T R EY D
BALZAC	B AE L Z AH K
BAMBIE	B AE M B AY
BAMBOOZLE	B AE M B UW Z AH L
BAMBY	B AE M B IY
BANDAGER	B AE N D IH JH ER
BANDANNA	B AE N D AE N AH
BANDBOX	B AE N D B AA K S
BANDEAU	B AE N D IY UW
BANDEAUX	B AE N D IY AH K S
BANDMASTER	B AE N D M AE S T ER
BANDOLEER	B AE N D AH L IH ER
BANDPASS	B AE N D P AE S
BANDSMAN	B AE N D Z M AE N
BANDSMEN	B AE N D Z M EH N
BANDSTOP	B AE N D S T AA P
BANDUNG	B AE N D AH NG
BANDWIDTHS	B AE N D W IH D TH S
BANEFUL	B EY N F AH L
BANEFULLER	B EY N F AH L ER
BANEFULLEST	B EY N F AH L AH S T
BANGUI	B AE N G W IY
BANI	B AE N IY
BANISHER	B AE N IH SH ER
BANJARMASIN	B AE N JH AA R M AH S AH N
BANJOIST	B AE N JH OW IH S T
BANJUL	B AE N JH AH L
BANKY	B AE NG K IY
BANNEKER	B AE N IY K AH R
BANNOCK	B AE N AH K
BANNS	B AE N Z
BANQUETER	B AE NG K W AH T ER
BANQUETTE	B AE NG K W EH T
BANTAMWEIGHT	B AE N T AH M W EY T
BANTERER	B AE N T ER ER
BANTING	B IY AH N T IH NG
BANZAI	B AE N Z EY
BAOBAB	B EY AH B AH B
BAOTOU	B EY AH T UW
BAPTIZER	B AE P T IH Z ER
BAPTIZES	B AE P T IH Z IH Z
BARABBAS	B AH R AE B AH Z
BARBABAS	B AA R B AH B AH Z
BARBABRA	B AA R B AE B R AH
BARBADIAN	B AA R B EY D IY AH N
BARBARAANNE	B AA R B AH R AH N
BARBARELLA	B AA R B AH R EH L AH
BARBARIANISM	B AA R B EH R IY AH N IH Z AH M
BARBARICALLY	B AA R B AE R IH K AH L IY
BARBARIZE	B AA R B ER AY Z
BARBAROSSA	B AA R B AH R AA S AH
BARBEL	B AA R B EH L
BARBERED	B AA R B ER D
BARBERRY	B AA R B ER R IY
BARBEY	B AA R B IY IY
BARBI	B AA R B IY
BARBITAL	B AA R B AH T AO L
BARBWIRE	B AA R B W AY ER
BARCAROLE	B AA R K AH R OW L
BARDE	B AA R D
